AgeLength,canum,MeanLength,MeanWeight
0,26901.0704128205,12.1061002388065,0.0149277934636226
1,60127.5750359589,14.4810485607274,0.0267567551395638
2,48824.8980233022,18.441166690141,0.0544191669869557
3,46934.0545823095,20.9190066029951,0.0770212901303777
4,39918.6316645325,22.6879293457194,0.0975862646644913
5,17747.4153524844,24.9663569009364,0.129303071624293
6,9263.42081422472,26.5264002649136,0.154494935611834
7,6190.81491748029,28.1957670411987,0.183253561395952
8,5076.90258043336,30.1049547039362,0.225963639371137
9,10801.382368678,31.1447399935115,0.248045795612266
10,7099.66344856505,32.3991053891317,0.27827189903522
11,8451.44375242248,34.2877546494494,0.334605277397774
