par,sd(par),exp(par),Low,High
-8.97458744551276,0.210345480394836,0.000126586151064598,8.31155785384683e-05,0.000192792421386238
-7.69311101117936,0.113455312620263,0.000455957474178427,0.000363394463854783,0.000572097923710388
-6.63367171077512,0.110271733362905,0.00131532471697422,0.00105499929795384,0.001639886504606
-6.14353553651192,0.109097436751218,0.00214731825959867,0.00172637678602533,0.0026708976541684
-5.95285123372865,0.108320112663189,0.00259842124010547,0.00209229975010415,0.00322697211080541
-5.90284879888593,0.107798775720481,0.00273165179706682,0.00220187424815203,0.00338889541338747
-5.90038913452705,0.108862804609702,0.00273837901358868,0.00220260452521766,0.00340447844186732
-5.86790998432853,0.109479672361359,0.00282877935320845,0.00227251227803567,0.00352120985504873
-12.2196563149686,0.392725222361788,4.93254086139888e-06,2.24881587132607e-06,1.0819009088113e-05
-8.31031350260155,0.130010372034226,0.000245966920004227,0.000189649249586658,0.000319008516343858
-6.64240719156044,0.126576191783906,0.00130388476268027,0.00101227037469587,0.00167950729058979
-5.73829413289941,0.125329979874852,0.00322025692286441,0.00250628402072074,0.00413762150000622
-5.45926999693876,0.124760990088124,0.00425666198717526,0.00331667674724169,0.00546305011126924
-5.4416009333714,0.124518330467118,0.00433254160521074,0.00337743884694513,0.0055577369751225
-5.58091183063357,0.125297521202331,0.00376912714583015,0.00293365300525921,0.00484253571092621
-5.85428588865946,0.0967508361784037,0.00286758264340484,0.00236308440730297,0.00347978692227154
-1.20670692367538,0.0874981095885742,0.299180884485225,0.251150443514604,0.356396749250242
-0.529912327260475,0.115170582204643,0.58865657655077,0.467547892490827,0.741135979183717
-0.388161723489064,0.111118289711529,0.678302636924212,0.543134493935327,0.84710964299963
-1.76215504734302,0.115692044931776,0.171674498217434,0.136212496659056,0.216368791858925
-1.86774303527454,0.104311968070186,0.154471906323166,0.125384912700473,0.190306547488013
0.0353363747329546,0.139802343423855,1.03596812369831,0.783277443238488,1.37017855241904
-0.643996665951056,0.0738481557292769,0.525189218071075,0.45307709632833,0.608778764173563
0.593099237044163,0.153850815492673,1.80958807597766,1.330290854686,2.4615737176465
-0.431083957992471,0.0497986707165168,0.649804352215557,0.588204090025709,0.717855763532389
-0.187457219081974,0.117000480254314,0.829064585565805,0.656089425748218,1.04764390350528
-0.408733529855016,0.192277318388337,0.664491275819375,0.45235492877758,0.976111074622924
1.29283763637365,0.110628810663505,3.64310972279125,2.91998948441696,4.54530693453721
